,Title,Title_URL,Artist Name,Artist Link,Duration,Genre,Mood,Movement,Theme,Other keywords,Other keywords.1
0,audio1test,https://pixabay.com/music/beautiful-plays-inspiring-cinematic-ambient-116199/,Lexin_Music,https://pixabay.com/users/lexin_music-28841948/,3:09,Beautiful Plays Build Up Scenes Adventure Ambient Pulses Nostalgia Modern Classical Small Emotions,Hopeful Restless Bright Dreamy Uplifting Suspense Epic Sentimental,Elegant Floating Chasing Medium Fast Running,Film Music Cinematic Music Music For Videos Music For Youtube Videos Background Music,"prostration
slow motion",prostration slow motion dream melancholy sadness drama sad documentary hypnotic calm inspirational tragic cinematic guitar landscape catastrophe east ethnic epic prayer sorrow travel world war hope air contemplative
1,audio2test,https://pixabay.com/music/main-title-risk-136788/,StudioKolomna,https://pixabay.com/users/studiokolomna-2073170/,1:12,Main Title Electronic Intro/Outro Epic Classical Adventure Action Chase Scene Beats Build Up Scenes,Epic Restless Suspense Energetic,Heavy & Ponderous Chasing Running Fast Medium,Music For Videos Film Music Cinematic Music,"cinematic
trailer",cinematic trailer blockbuster movie dramatic action percussion orchestra synth electronic royalty free
2,audio3test,https://pixabay.com/music/build-up-scenes-science-documentary-169621/,Lexin_Music,https://pixabay.com/users/lexin_music-28841948/,2:07,Build Up Scenes Main Title Beautiful Plays Adventure Modern Classical,Restless Dreamy Hopeful Bright Epic Uplifting Energetic Suspense,Chasing Elegant Medium Floating Smooth Running,Music For Videos Film Music Cinematic Music Background Music,"corporate
documentary",corporate documentary background animals biology creation creative design discovery engineering experiments factory inspirational inspiring island marimba marketing mechanism medicine nature neutral orchestral presentation science study
3,audio4test,https://pixabay.com/music/adventure-majestic-voyage-200663/,Neura-Flow,https://pixabay.com/users/neura-flow-43255620/,1:46,Adventure Build Up Scenes Epic Classical Main Title,Restless Bright Suspense Energetic Epic Hopeful Uplifting,Chasing Running Heavy & Ponderous Marching Medium,Film Music Cinematic Music Music For Videos,"epic
cinematic",epic cinematic documentary movie powerful emotional orchestral intense dramatic trailer adventure suspenseful epic trailer cinematic trailer inspirational majestic beautiful background soundtrack inspiring big grand heroic action
4,audio5test,https://pixabay.com/music/main-title-drive-to-triumph-188794/,Top-Flow,https://pixabay.com/users/top-flow-28521292/,1:32,Main Title Adventure Build Up Scenes Epic Classical,Restless Suspense Energetic Epic Bright Hopeful Uplifting,Chasing Running Heavy & Ponderous Marching Medium,Music For Videos Film Music Cinematic Music,"motivational
powerful",motivational powerful hiphop sport workout energetic intense upbeat aggressive driving confident determined adrenaline competitive strong dynamic fierce active pumped athletic triumph
5,audio6test,https://pixabay.com/music/main-title-motivational-epic-music-inspiring-cinematic-background-music-124265/,SoulProdMusic,https://pixabay.com/users/soulprodmusic-30064790/,2:36,Main Title Beautiful Plays Build Up Scenes Epic Classical Adventure,Epic Restless Hopeful Suspense Energetic Bright Uplifting,Chasing Running Marching Heavy & Ponderous Fast,Music For Videos Background Music Film Music Cinematic Music,"epic
motivational",epic motivational inspiring cinematic documentary trailer action adventure advertising emotional energetic film heroic hollywood intro movie orchestra orchestral percussion piano powerful presentation soundtrack strings
6,audio7test,https://pixabay.com/music/main-title-awaken-136824/,Onoychenkomusic,https://pixabay.com/users/onoychenkomusic-24430395/,3:00,Main Title Beautiful Plays Modern Classical Build Up Scenes Nostalgia Small Drama,Hopeful Sentimental Bright Suspense Dreamy,Floating Elegant Slow,Film Music Cinematic Music Music For Videos,"calm
cinematic",calm cinematic commercial despair documentary drama dramatic dreary emotional film loop loss melancholic mellow memories nostalgic orchestral peaceful piano podcasts quiet remembrance sad sadness sentimental
7,audio8test,https://pixabay.com/music/beautiful-plays-price-of-freedom-33106/,Good_B_Music,https://pixabay.com/users/good_b_music-22836301/,5:07,Beautiful Plays Adventure Main Title Modern Classical Build Up Scenes Dramatic Classical,Hopeful Dreamy Bright Suspense Epic Sentimental Uplifting,Elegant Medium Floating Chasing,Music For Videos Music For Youtube Videos Vlog Music Cinematic Music Film Music Background Music,"adventures
advertising",adventures advertising battle cinematic documentary drama dramatic epic films heroic honor inspiring knight motivate motivation motivational orchestra soundtrack trailer youtube war ukraine sport no war
8,audio9test,https://pixabay.com/music/adventure-waterfall-140894/,RomanSenykMusic,https://pixabay.com/users/romansenykmusic-11989248/,2:44,Adventure Main Title Electronic Build Up Scenes Beautiful Plays Modern Classical,Uplifting Laid Back Bright Restless Dreamy Hopeful Suspense Energetic Epic,Elegant Chasing Medium Smooth Floating,Music For Videos Music For Youtube Videos Vlog Music Background Music Film Music Cinematic Music,"atmosphere
atmospheric",atmosphere atmospheric background calm cinematic emotional grand great guitar huge impressive inner view inspiration inspiring motivating orchestra piano roar strings thoughtful water waterfall waves worship
9,audio10test,https://pixabay.com/music/beautiful-plays-reflected-light-147979/,SergePavkinMusic,https://pixabay.com/users/sergepavkinmusic-6130722/,3:44,Beautiful Plays Main Title Build Up Scenes Adventure Ambient Modern Classical,Dreamy Epic Bright Hopeful Uplifting Relaxing Suspense,Elegant Floating Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Film Music Cinematic Music,"air
ambient
calm",air ambient calm contemplative dreamy electronic ethereal futuristic guitar landscape meditative peaceful relaxed romantic space time-lapse travel vocal music background music
